student_id,firstname,middlename,lastname,email,program,department,year_level,gender,course_code,classification
202500063,Daniel,B.,Miller,daniel.miller@unc.edu.ph,BSCS,SCIS,2nd Year,Male,LIS101,Re-Enrollee
202500064,Sarah,E.,Moore,sarah.moore@unc.edu.ph,BSCS,SCIS,4th Year,Female,PNCSIT101,Re-Enrollee
202500065,David,F.,Davis,david.davis@unc.edu.ph,BSIT,SCIS,1st Year,Female,DBM301,Transferee
202500066,Emily,A.,Taylor,emily.taylor@unc.edu.ph,ACT,SCIS,4th Year,Male,SP401,Transferee
202500067,Sophia,F.,Jones,sophia.jones@unc.edu.ph,BLIS,SCIS,1st Year,Female,IRS102,Transferee
202500068,David,H.,Wilson,david.wilson@unc.edu.ph,BSIT,SCIS,2nd Year,Male,IP202,Re-Enrollee
202500069,Michael,D.,Wilson,michael.wilson@unc.edu.ph,BLIS,SCIS,3rd Year,Male,SIP101,Transferee
202500070,Alex,G.,Miller,alex.miller@unc.edu.ph,BSCS,SCIS,1st Year,Female,DBM301,Re-Enrollee
202500071,John,F.,Johnson,john.johnson@unc.edu.ph,BSCS,SCIS,3rd Year,Female,SIP102,Re-Enrollee
202500072,Emily,B.,Williams,emily.williams@unc.edu.ph,BSIT,SCIS,3rd Year,Male,PNCSIT101,Re-Enrollee
202500073,Michael,I.,Moore,michael.moore@unc.edu.ph,BSCS,SCIS,3rd Year,Female,SIP103,Transferee
202500074,David,C.,Williams,david.williams@unc.edu.ph,ACT,SCIS,1st Year,Female,PNCSIT101,Re-Enrollee
202500075,Emily,I.,Johnson,emily.johnson@unc.edu.ph,BSCS,SCIS,2nd Year,Female,TECH102,Transferee
202500076,Laura,F.,Miller,laura.miller@unc.edu.ph,BLIS,SCIS,4th Year,Female,SIP102,Transferee
202500077,John,F.,Jones,john.jones@unc.edu.ph,BSCS,SCIS,1st Year,Male,PC102,Re-Enrollee
202500078,Sophia,D.,Smith,sophia.smith@unc.edu.ph,ACT,SCIS,4th Year,Female,DBM303,Re-Enrollee
202500079,John,F.,Williams,john.williams@unc.edu.ph,BLIS,SCIS,2nd Year,Male,CMIR202,Transferee
202500080,Sarah,J.,Brown,sarah.brown@unc.edu.ph,BSIT,SCIS,2nd Year,Female,SP401,Re-Enrollee
202500081,Sophia,I.,Moore,sophia.moore@unc.edu.ph,ACT,SCIS,1st Year,Male,DBM303,Re-Enrollee
202500082,Emily,J.,Williams,emily.williams@unc.edu.ph,BSCS,SCIS,2nd Year,Female,PC103,Re-Enrollee
202500083,Michael,H.,Davis,michael.davis@unc.edu.ph,BSCS,SCIS,4th Year,Female,CAP402,Transferee
202500084,Emily,E.,Brown,emily.brown@unc.edu.ph,BSIT,SCIS,2nd Year,Male,SIP102,Transferee
202500085,David,H.,Taylor,david.taylor@unc.edu.ph,BSCS,SCIS,3rd Year,Male,RMLIS301,Transferee
202500086,Daniel,C.,Davis,daniel.davis@unc.edu.ph,ACT,SCIS,4th Year,Female,SIP101,Re-Enrollee
202500087,John,A.,Miller,john.miller@unc.edu.ph,BLIS,SCIS,1st Year,Male,IP201,Re-Enrollee
202500088,Sarah,B.,Moore,sarah.moore@unc.edu.ph,BSIT,SCIS,3rd Year,Male,DBM302,Re-Enrollee
202500089,David,J.,Johnson,david.johnson@unc.edu.ph,BSIT,SCIS,4th Year,Female,IP203,Transferee
202500090,Emily,C.,Williams,emily.williams@unc.edu.ph,ACT,SCIS,4th Year,Female,TECH102,Transferee
202500091,Sophia,A.,Miller,sophia.miller@unc.edu.ph,BSCS,SCIS,3rd Year,Female,DBM303,Transferee
202500092,Michael,B.,Williams,michael.williams@unc.edu.ph,BLIS,SCIS,4th Year,Female,PNCSIT102,Re-Enrollee
202500093,Alex,E.,Miller,alex.miller@unc.edu.ph,ACT,SCIS,1st Year,Female,IA102,Transferee
202500094,Sophia,B.,Wilson,sophia.wilson@unc.edu.ph,BSCS,SCIS,3rd Year,Female,PC102,Transferee
202500095,Laura,B.,Johnson,laura.johnson@unc.edu.ph,BSIT,SCIS,1st Year,Female,TECH102,Re-Enrollee
202500096,Daniel,F.,Smith,daniel.smith@unc.edu.ph,BSIT,SCIS,3rd Year,Male,DBM302,Transferee
202500097,Alex,J.,Miller,alex.miller@unc.edu.ph,BSCS,SCIS,1st Year,Female,IA102,Transferee
202500098,Jane,F.,Moore,jane.moore@unc.edu.ph,ACT,SCIS,3rd Year,Male,IP203,Transferee
202500099,John,G.,Brown,john.brown@unc.edu.ph,BSIT,SCIS,2nd Year,Female,IP203,Re-Enrollee
202500100,Laura,A.,Williams,laura.williams@unc.edu.ph,BSCS,SCIS,2nd Year,Male,IP201,Transferee
202500101,Sophia,J.,Miller,sophia.miller@unc.edu.ph,ACT,SCIS,1st Year,Male,PC103,Re-Enrollee
202500102,Sophia,B.,Smith,sophia.smith@unc.edu.ph,BSCS,SCIS,2nd Year,Male,IA102,Re-Enrollee
202500103,Laura,C.,Wilson,laura.wilson@unc.edu.ph,BSIT,SCIS,2nd Year,Female,PC102,Transferee
202500104,David,B.,Jones,david.jones@unc.edu.ph,BSIT,SCIS,2nd Year,Male,CMIR202,Re-Enrollee
202500105,Michael,B.,Taylor,michael.taylor@unc.edu.ph,ACT,SCIS,1st Year,Male,TECH102,Transferee
202500106,Alex,J.,Wilson,alex.wilson@unc.edu.ph,BSIT,SCIS,1st Year,Female,IP203,Transferee
202500107,Emily,C.,Moore,emily.moore@unc.edu.ph,ACT,SCIS,2nd Year,Male,IP203,Transferee
202500108,Emily,D.,Jones,emily.jones@unc.edu.ph,BLIS,SCIS,3rd Year,Female,IP201,Re-Enrollee
202500109,Emily,C.,Williams,emily.williams@unc.edu.ph,BSCS,SCIS,1st Year,Male,TECH102,Re-Enrollee
202500110,Daniel,D.,Davis,daniel.davis@unc.edu.ph,ACT,SCIS,4th Year,Female,TECH101,Transferee
202500111,Emily,H.,Moore,emily.moore@unc.edu.ph,BLIS,SCIS,1st Year,Female,IP202,Re-Enrollee
202500112,Jane,F.,Smith,jane.smith@unc.edu.ph,ACT,SCIS,4th Year,Male,SIP102,Re-Enrollee
202500113,Jane,A.,Williams,jane.williams@unc.edu.ph,BSIT,SCIS,3rd Year,Male,IP202,Transferee
202500114,Emily,C.,Moore,emily.moore@unc.edu.ph,BSIT,SCIS,2nd Year,Female,QM201,Transferee
202500115,Alex,B.,Davis,alex.davis@unc.edu.ph,ACT,SCIS,2nd Year,Female,SIP103,Transferee
202500116,John,F.,Wilson,john.wilson@unc.edu.ph,ACT,SCIS,3rd Year,Male,DBM301,Re-Enrollee
202500117,Alex,A.,Jones,alex.jones@unc.edu.ph,BSCS,SCIS,1st Year,Female,CAP402,Transferee
202500118,Sarah,E.,Davis,sarah.davis@unc.edu.ph,BSCS,SCIS,2nd Year,Male,DBM301,Re-Enrollee
202500119,Daniel,D.,Taylor,daniel.taylor@unc.edu.ph,ACT,SCIS,2nd Year,Female,PNCSIT101,Transferee
202500120,Laura,D.,Johnson,laura.johnson@unc.edu.ph,BSIT,SCIS,1st Year,Female,IP203,Transferee
202500121,David,H.,Jones,david.jones@unc.edu.ph,BSCS,SCIS,2nd Year,Male,PNCSIT101,Transferee
202500122,Jane,B.,Wilson,jane.wilson@unc.edu.ph,ACT,SCIS,3rd Year,Female,PC103,Transferee
202500123,Sarah,E.,Wilson,sarah.wilson@unc.edu.ph,ACT,SCIS,1st Year,Male,IP203,Transferee
202500124,Sophia,E.,Davis,sophia.davis@unc.edu.ph,BSCS,SCIS,2nd Year,Female,SIP102,Re-Enrollee
202500125,Emily,F.,Davis,emily.davis@unc.edu.ph,BSIT,SCIS,2nd Year,Female,PNCSIT102,Transferee
202500126,Emily,J.,Davis,emily.davis@unc.edu.ph,BSCS,SCIS,3rd Year,Female,RMLIS301,Re-Enrollee
202500127,David,I.,Williams,david.williams@unc.edu.ph,BLIS,SCIS,3rd Year,Male,TECH102,Re-Enrollee
202500128,David,B.,Johnson,david.johnson@unc.edu.ph,BSCS,SCIS,1st Year,Male,LIS101,Re-Enrollee
202500129,Emily,H.,Jones,emily.jones@unc.edu.ph,BSCS,SCIS,1st Year,Female,TECH103,Re-Enrollee
202500130,Jane,J.,Williams,jane.williams@unc.edu.ph,BSIT,SCIS,2nd Year,Male,SIP103,Transferee
202500131,Emily,H.,Smith,emily.smith@unc.edu.ph,BSIT,SCIS,4th Year,Female,IP201,Transferee
202500132,Alex,H.,Williams,alex.williams@unc.edu.ph,BSIT,SCIS,3rd Year,Male,QM202,Re-Enrollee
202500133,Sarah,G.,Taylor,sarah.taylor@unc.edu.ph,BSCS,SCIS,4th Year,Male,IP201,Transferee
202500134,Emily,H.,Smith,emily.smith@unc.edu.ph,BLIS,SCIS,1st Year,Male,TECH101,Re-Enrollee
202500135,John,J.,Jones,john.jones@unc.edu.ph,BSIT,SCIS,1st Year,Female,SIP103,Re-Enrollee
202500136,John,B.,Taylor,john.taylor@unc.edu.ph,ACT,SCIS,1st Year,Female,DBM303,Transferee
202500137,David,G.,Moore,david.moore@unc.edu.ph,BSIT,SCIS,2nd Year,Female,SIP103,Transferee
202500138,David,A.,Moore,david.moore@unc.edu.ph,BSIT,SCIS,4th Year,Male,IP201,Transferee
202500139,Alex,D.,Moore,alex.moore@unc.edu.ph,BLIS,SCIS,1st Year,Female,CAP402,Transferee
202500140,Sarah,G.,Brown,sarah.brown@unc.edu.ph,ACT,SCIS,2nd Year,Female,CMIR202,Transferee
202500141,Michael,J.,Williams,michael.williams@unc.edu.ph,BLIS,SCIS,1st Year,Female,TECH101,Re-Enrollee
202500142,Michael,A.,Johnson,michael.johnson@unc.edu.ph,BSCS,SCIS,4th Year,Male,IA101,Re-Enrollee
202500143,Laura,A.,Taylor,laura.taylor@unc.edu.ph,ACT,SCIS,3rd Year,Female,IRS102,Re-Enrollee
202500144,Daniel,B.,Brown,daniel.brown@unc.edu.ph,BLIS,SCIS,2nd Year,Female,CMIR202,Re-Enrollee
202500145,Emily,C.,Moore,emily.moore@unc.edu.ph,BLIS,SCIS,3rd Year,Male,QM201,Re-Enrollee
202500146,David,C.,Brown,david.brown@unc.edu.ph,BSCS,SCIS,4th Year,Female,CAP402,Re-Enrollee
202500147,Alex,C.,Johnson,alex.johnson@unc.edu.ph,BLIS,SCIS,4th Year,Male,SIP103,Re-Enrollee
202500148,Daniel,H.,Moore,daniel.moore@unc.edu.ph,BLIS,SCIS,4th Year,Female,IP201,Re-Enrollee
202500149,Emily,H.,Brown,emily.brown@unc.edu.ph,BSIT,SCIS,3rd Year,Male,PC101,Re-Enrollee
202500150,Laura,D.,Wilson,laura.wilson@unc.edu.ph,BLIS,SCIS,3rd Year,Male,DBM303,Transferee
202500151,John,D.,Jones,john.jones@unc.edu.ph,BLIS,SCIS,1st Year,Female,TECH101,Re-Enrollee
202500152,Laura,G.,Smith,laura.smith@unc.edu.ph,BSCS,SCIS,1st Year,Female,IP202,Transferee
202500153,Emily,G.,Smith,emily.smith@unc.edu.ph,BLIS,SCIS,3rd Year,Male,IP203,Transferee
202500154,Laura,D.,Brown,laura.brown@unc.edu.ph,ACT,SCIS,4th Year,Female,CMIR202,Re-Enrollee
202500155,Emily,G.,Davis,emily.davis@unc.edu.ph,ACT,SCIS,1st Year,Female,DBM302,Re-Enrollee
202500156,Jane,E.,Miller,jane.miller@unc.edu.ph,BSCS,SCIS,2nd Year,Female,TECH103,Transferee
202500157,Daniel,J.,Williams,daniel.williams@unc.edu.ph,BSIT,SCIS,2nd Year,Male,IRS101,Re-Enrollee
202500158,Jane,J.,Smith,jane.smith@unc.edu.ph,BSCS,SCIS,3rd Year,Female,IP203,Transferee
202500159,Alex,B.,Davis,alex.davis@unc.edu.ph,BSIT,SCIS,4th Year,Male,CMIR202,Transferee
202500160,Alex,F.,Wilson,alex.wilson@unc.edu.ph,ACT,SCIS,2nd Year,Female,SIP101,Transferee
202500161,Alex,B.,Miller,alex.miller@unc.edu.ph,BSIT,SCIS,3rd Year,Male,IA101,Re-Enrollee
202500162,John,A.,Wilson,john.wilson@unc.edu.ph,BSIT,SCIS,3rd Year,Male,PNCSIT101,Transferee
202500163,David,G.,Brown,david.brown@unc.edu.ph,BSCS,SCIS,1st Year,Female,PC102,Re-Enrollee
202500164,Jane,C.,Moore,jane.moore@unc.edu.ph,BSIT,SCIS,1st Year,Male,TECH102,Re-Enrollee
202500165,Jane,G.,Moore,jane.moore@unc.edu.ph,ACT,SCIS,3rd Year,Female,SIP102,Re-Enrollee
202500166,Emily,I.,Brown,emily.brown@unc.edu.ph,BLIS,SCIS,4th Year,Female,SIP103,Re-Enrollee
202500167,David,D.,Moore,david.moore@unc.edu.ph,BSIT,SCIS,1st Year,Male,TECH101,Re-Enrollee
202500168,Daniel,J.,Taylor,daniel.taylor@unc.edu.ph,ACT,SCIS,1st Year,Male,IP201,Transferee
202500169,Sophia,I.,Jones,sophia.jones@unc.edu.ph,BLIS,SCIS,2nd Year,Female,QM201,Re-Enrollee
202500170,Daniel,H.,Johnson,daniel.johnson@unc.edu.ph,ACT,SCIS,4th Year,Female,IRS102,Transferee
202500171,Daniel,H.,Johnson,daniel.johnson@unc.edu.ph,BLIS,SCIS,1st Year,Male,SIP101,Re-Enrollee
202500172,Michael,B.,Taylor,michael.taylor@unc.edu.ph,BSCS,SCIS,2nd Year,Female,SIP103,Re-Enrollee
202500173,Sophia,H.,Brown,sophia.brown@unc.edu.ph,BSIT,SCIS,3rd Year,Male,RMLIS301,Re-Enrollee
202500174,Sophia,J.,Wilson,sophia.wilson@unc.edu.ph,BLIS,SCIS,3rd Year,Female,TECH102,Transferee
